,categoria_produto,data_compra,produto_nome
0,livros,2020/01/01,Modelagem preditiva
1,livros,2020/01/01,Iniciando em programação
2,instrumentos musicais,2020/01/01,Pandeiro
3,esporte e lazer,2020/01/01,Corda de pular
4,brinquedos,2020/01/01,Dinossauro Rex
5,utilidades domesticas,2020/01/01,Jogo de copos
6,eletrodomesticos,2020/01/01,Lavadora de roupas
7,esporte e lazer,2020/01/01,Bola de vôlei
8,brinquedos,2020/01/01,Xadrez de madeira
9,brinquedos,2021/01/01,Xadrez de madeira
10,gadgets,2021/01/01,Impressora
11,moveis,2021/01/01,Mesa de centro
12,gadgets,2021/01/01,Tablet ABXY
13,eletrodomesticos,2021/01/01,Fogão
14,instrumentos musicais,2022/01/01,Violão
15,eletrodomesticos,2022/01/01,Geladeira
16,eletrodomesticos,2022/01/01,Secadora de roupas
17,utilidades domesticas,2022/01/01,Jogo de copos
18,brinquedos,2022/01/01,Blocos de montar
19,livros,2022/01/01,Iniciando em programação
20,eletrodomesticos,2022/01/01,Fogão
21,esporte e lazer,2022/01/01,Bola de vôlei
22,instrumentos musicais,2023/01/01,Bateria
23,brinquedos,2023/01/01,Boneca bebê
24,moveis,2023/01/01,Sofá retrátil
25,instrumentos musicais,2023/01/01,Pandeiro
26,esporte e lazer,2023/01/01,Bicicleta
27,brinquedos,2023/01/01,Xadrez de madeira
28,eletrodomesticos,2020/02/01,Lavadora de roupas
29,esporte e lazer,2020/02/01,Mochila
30,gadgets,2020/02/01,Headset
31,eletrodomesticos,2021/02/01,Micro-ondas
32,moveis,2021/02/01,Cama king
33,livros,2021/02/01,Ciência de dados com python
34,instrumentos musicais,2021/02/01,Guitarra
35,livros,2021/02/01,Ciência de dados com python
36,moveis,2021/02/01,Cama box
37,gadgets,2021/02/01,Headset
38,livros,2021/02/01,Iniciando em programação
39,utilidades domesticas,2021/02/01,Jogo de panelas
40,instrumentos musicais,2022/02/01,Guitarra
41,livros,2022/02/01,Dashboards com Power BI
42,esporte e lazer,2022/02/01,Copo térmico
43,esporte e lazer,2022/02/01,Corda de pular
44,moveis,2022/02/01,Mesa de jantar
45,livros,2022/02/01,Ciência de dados com python
46,esporte e lazer,2022/02/01,Bicicleta
47,esporte e lazer,2022/02/01,Mochila
48,moveis,2022/02/01,Poltrona
49,livros,2022/02/01,Dashboards com Power BI
50,livros,2023/02/01,Ciência de dados com python
51,gadgets,2023/02/01,Smartwatch
52,esporte e lazer,2023/02/01,Bola de vôlei
53,moveis,2023/02/01,Cômoda
54,gadgets,2023/02/01,Fone de ouvido
55,eletrodomesticos,2023/02/01,Lava louças
56,gadgets,2023/02/01,TV Led UHD 4K
57,livros,2023/02/01,Modelagem preditiva
58,livros,2023/02/01,Dashboards com Power BI
59,gadgets,2023/02/01,Assistente virtual
60,utilidades domesticas,2020/03/01,Jogo de panelas
61,moveis,2020/03/01,Cama box
62,esporte e lazer,2020/03/01,Bola de basquete
63,eletrodomesticos,2020/03/01,Lava louças
64,moveis,2020/03/01,Cadeira de escritório
65,brinquedos,2020/03/01,Cubo mágico 8x8
66,esporte e lazer,2020/03/01,Bola de basquete
67,gadgets,2020/03/01,Smart TV
68,eletrodomesticos,2021/03/01,Geladeira
69,eletrodomesticos,2021/03/01,Lavadora de roupas
70,gadgets,2021/03/01,Celular ABXY
71,brinquedos,2021/03/01,Xadrez de madeira
72,eletrodomesticos,2021/03/01,Fogão
73,brinquedos,2021/03/01,Cubo mágico 8x8
74,eletrodomesticos,2021/03/01,Micro-ondas
75,esporte e lazer,2022/03/01,Corda de pular
76,gadgets,2022/03/01,Celular ABXY
77,esporte e lazer,2022/03/01,Bola de vôlei
78,moveis,2022/03/01,Guarda roupas
79,eletrodomesticos,2022/03/01,Lavadora de roupas
80,brinquedos,2022/03/01,Carrinho controle remoto
81,moveis,2022/03/01,Sofá retrátil
82,moveis,2022/03/01,Mesa de jantar
83,livros,2022/03/01,Ciência de dados com python
84,gadgets,2022/03/01,Headset
85,instrumentos musicais,2022/03/01,Pandeiro
86,eletrodomesticos,2022/03/01,Lavadora de roupas
87,livros,2023/03/01,Modelagem preditiva
88,instrumentos musicais,2023/03/01,Bateria
89,livros,2023/03/01,Dashboards com Power BI
90,brinquedos,2023/03/01,Dinossauro Rex
91,esporte e lazer,2023/03/01,Bicicleta
92,moveis,2023/03/01,Cama box
93,livros,2020/04/01,Iniciando em programação
94,gadgets,2020/04/01,Assistente virtual
95,utilidades domesticas,2020/04/01,Panela de pressão
96,eletrodomesticos,2020/04/01,Fogão
97,gadgets,2021/04/01,Assistente virtual
98,brinquedos,2021/04/01,Boneca bebê
99,esporte e lazer,2021/04/01,Bicicleta
100,eletrodomesticos,2021/04/01,Lavadora de roupas
101,instrumentos musicais,2021/04/01,Pandeiro
102,instrumentos musicais,2021/04/01,Guitarra
103,utilidades domesticas,2021/04/01,Panela de pressão
104,moveis,2021/04/01,Mesa de centro
105,livros,2021/04/01,Iniciando em programação
106,brinquedos,2021/04/01,Boneca bebê
107,livros,2021/04/01,Dashboards com Power BI
108,gadgets,2021/04/01,Celular ABXY
109,moveis,2022/04/01,Guarda roupas
110,moveis,2022/04/01,Cômoda
111,gadgets,2022/04/01,Impressora
112,utilidades domesticas,2022/04/01,Faqueiro
113,livros,2022/04/01,Ciência de dados com python
114,eletrodomesticos,2022/04/01,Micro-ondas
115,utilidades domesticas,2020/05/01,Panela de pressão
116,brinquedos,2020/05/01,Jogo de tabuleiro
117,moveis,2020/05/01,Sofá retrátil
118,esporte e lazer,2020/05/01,Corda de pular
119,gadgets,2020/05/01,Headset
120,eletrodomesticos,2020/05/01,Micro-ondas
121,utilidades domesticas,2021/05/01,Jogo de panelas
122,moveis,2021/05/01,Kit banquetas
123,gadgets,2021/05/01,Celular Plus X42
124,eletrodomesticos,2021/05/01,Geladeira
125,gadgets,2021/05/01,Headset
126,livros,2021/05/01,Ciência de dados com python
127,eletrodomesticos,2021/05/01,Micro-ondas
128,gadgets,2022/05/01,Tablet ABXY
129,moveis,2022/05/01,Mesa de jantar
130,moveis,2022/05/01,Sofá retrátil
131,moveis,2022/05/01,Cadeira de escritório
132,moveis,2022/05/01,Mesa de centro
133,gadgets,2022/05/01,Tablet ABXY
134,esporte e lazer,2022/05/01,Mochila
135,moveis,2022/05/01,Mesa de centro
136,moveis,2022/05/01,Cadeira de escritório
137,esporte e lazer,2020/06/01,Corda de pular
138,livros,2020/06/01,Dashboards com Power BI
139,esporte e lazer,2020/06/01,Bola de vôlei
140,livros,2020/06/01,Dashboards com Power BI
141,utilidades domesticas,2020/06/01,Faqueiro
142,gadgets,2020/06/01,Smartwatch
143,moveis,2021/06/01,Guarda roupas
144,brinquedos,2021/06/01,Boneca bebê
145,livros,2021/06/01,Dashboards com Power BI
146,instrumentos musicais,2021/06/01,Guitarra
147,moveis,2021/06/01,Mesa de centro
148,gadgets,2021/06/01,TV Led UHD 4K
149,brinquedos,2021/06/01,Boneca bebê
150,moveis,2021/06/01,Cama king
151,moveis,2021/06/01,Cama king
152,moveis,2022/06/01,Mesa de jantar
153,brinquedos,2022/06/01,Cubo mágico 8x8
154,brinquedos,2022/06/01,Xadrez de madeira
155,esporte e lazer,2022/06/01,Bola de basquete
156,gadgets,2022/06/01,Celular ABXY
157,esporte e lazer,2022/06/01,Bola de vôlei
158,moveis,2022/06/01,Cômoda
159,esporte e lazer,2022/06/01,Copo térmico
160,esporte e lazer,2022/06/01,Corda de pular
161,moveis,2022/06/01,Sofá retrátil
162,brinquedos,2022/06/01,Jogo de tabuleiro
163,brinquedos,2022/06/01,Cubo mágico 8x8
164,brinquedos,2022/06/01,Boneca bebê
165,moveis,2020/07/01,Kit banquetas
166,gadgets,2020/07/01,Assistente virtual
167,eletrodomesticos,2020/07/01,Fogão
168,esporte e lazer,2020/07/01,Bola de vôlei
169,brinquedos,2021/07/01,Dinossauro Rex
170,livros,2021/07/01,Dashboards com Power BI
171,moveis,2021/07/01,Mesa de centro
172,moveis,2021/07/01,Mesa de centro
173,brinquedos,2021/07/01,Jogo de tabuleiro
174,brinquedos,2021/07/01,Dinossauro Rex
175,moveis,2021/07/01,Cama box
176,eletrodomesticos,2021/07/01,Geladeira
177,gadgets,2021/07/01,Smart TV
178,moveis,2021/07/01,Cadeira de escritório
179,livros,2021/07/01,Iniciando em programação
180,esporte e lazer,2022/07/01,Corda de pular
181,eletrodomesticos,2022/07/01,Lava louças
182,gadgets,2022/07/01,Celular ABXY
183,instrumentos musicais,2022/07/01,Guitarra
184,brinquedos,2022/07/01,Blocos de montar
185,gadgets,2022/07/01,Celular Plus X42
186,brinquedos,2022/07/01,Xadrez de madeira
187,gadgets,2022/07/01,Headset
188,livros,2022/07/01,Modelagem preditiva
189,utilidades domesticas,2020/08/01,Jogo de copos
190,gadgets,2020/08/01,Smart TV
191,brinquedos,2020/08/01,Jogo de tabuleiro
192,esporte e lazer,2020/08/01,Copo térmico
193,moveis,2020/08/01,Cômoda
194,moveis,2020/08/01,Cadeira de escritório
195,gadgets,2020/08/01,Tablet ABXY
196,livros,2020/08/01,Iniciando em programação
197,eletrodomesticos,2020/08/01,Lava louças
198,gadgets,2020/08/01,Tablet ABXY
199,moveis,2020/08/01,Cama king
200,moveis,2021/08/01,Cama box
201,eletrodomesticos,2021/08/01,Lava louças
202,eletrodomesticos,2021/08/01,Geladeira
203,gadgets,2021/08/01,Smartwatch
204,moveis,2021/08/01,Poltrona
205,moveis,2021/08/01,Sofá retrátil
206,eletrodomesticos,2021/08/01,Lavadora de roupas
207,gadgets,2021/08/01,TV Led UHD 4K
208,utilidades domesticas,2021/08/01,Jogo de panelas
209,livros,2021/08/01,Modelagem preditiva
210,moveis,2021/08/01,Guarda roupas
211,instrumentos musicais,2021/08/01,Guitarra
212,utilidades domesticas,2021/08/01,Faqueiro
213,eletrodomesticos,2021/08/01,Lava louças
214,livros,2022/08/01,Iniciando em programação
215,gadgets,2022/08/01,Smartwatch
216,instrumentos musicais,2022/08/01,Guitarra
217,utilidades domesticas,2022/08/01,Jogo de copos
218,esporte e lazer,2022/08/01,Corda de pular
219,brinquedos,2022/08/01,Boneca bebê
220,brinquedos,2022/08/01,Blocos de montar
221,esporte e lazer,2022/08/01,Bicicleta
222,eletrodomesticos,2022/08/01,Lava louças
223,moveis,2022/08/01,Cômoda
